name,kind,primary_families,support_families,all_families,current_status,installed_state,decision,canonical_path,owner_source,routing_role,support_bias
catalogue-router,skill,capability_selection,process,"capability_selection, process",active-pack,installed_pack_skill,keep-active,.agents/skills/catalogue-router/SKILL.md,codex-coding-os-pack,primary-capable,material-only
codex-coding-os-master,skill,code_orchestration,"code, process, project_continuity","code, code_orchestration, process, project_continuity",active-pack,installed_pack_skill,keep-active,.agents/skills/codex-coding-os-master/SKILL.md,codex-coding-os-pack,primary-capable,material-only
ai-coding-discipline,skill,code,"github, process, project_continuity, security","code, github, process, project_continuity, security",active-pack,installed_pack_skill,keep-active,.agents/skills/ai-coding-discipline/SKILL.md,codex-coding-os-pack,primary-capable,material-only
project-session-continuity,skill,project_continuity,"code, process","code, process, project_continuity",active-pack,installed_pack_skill,keep-active,.agents/skills/project-session-continuity/SKILL.md,codex-coding-os-pack,primary-capable,material-only
github,skill,github,"code, process","code, github, process",active-plugin,installed_plugin_skill,keep-active,plugin:github,codex-plugin,primary-capable,material-only
gh-address-comments,skill,github,"code, critique","code, critique, github",active-plugin,installed_plugin_skill,keep-active,plugin:github,codex-plugin,primary-capable,material-only
gh-fix-ci,skill,github,"code, process","code, github, process",active-plugin,installed_plugin_skill,keep-active,plugin:github,codex-plugin,primary-capable,material-only
yeet,skill,github,"code, process","code, github, process",active-plugin,installed_plugin_skill,keep-active,plugin:github,codex-plugin,primary-capable,material-only
security-best-practices,skill,security,code,"code, security",active-pack,installed_pack_skill,keep-active,.agents/skills/security-best-practices/SKILL.md,codex-coding-os-pack,primary-capable,material-only
security-threat-model,skill,security,"code, critique","code, critique, security",active-pack,installed_pack_skill,keep-active,.agents/skills/security-threat-model/SKILL.md,codex-coding-os-pack,primary-capable,material-only
deep-critic,skill,critique,"business_strategy, controlled_document, creative, document, evidence, finance, operational_rca, process, quantitative, rag","business_strategy, controlled_document, creative, critique, document, evidence, finance, operational_rca, process, quantitative, rag",active-pack,installed_pack_skill,keep-active,.agents/skills/deep-critic/SKILL.md,codex-coding-os-pack,"primary-capable, master-review-support",default-for-noncoding
evidence-checker,skill,evidence,"controlled_document, critique, document, finance, process, rag","controlled_document, critique, document, evidence, finance, process, rag",active-pack,installed_pack_skill,keep-active,.agents/skills/evidence-checker/SKILL.md,codex-coding-os-pack,"primary-capable, master-review-support",default-for-noncoding
pre-mortem,skill,critique,"business_strategy, controlled_document, creative, evidence, finance, operational_rca, process, quantitative","business_strategy, controlled_document, creative, critique, evidence, finance, operational_rca, process, quantitative",active-pack,installed_pack_skill,keep-active,.agents/skills/pre-mortem/SKILL.md,codex-coding-os-pack,"primary-capable, master-review-support",default-for-noncoding
quality-improvement-problem-solving,skill,operational_rca,"controlled_document, critique, evidence, process, quantitative","controlled_document, critique, evidence, operational_rca, process, quantitative",active-pack,installed_pack_skill,keep-active,.agents/skills/quality-improvement-problem-solving/SKILL.md,codex-coding-os-pack,"primary-capable, master-review-support",default-for-noncoding
quant-review,skill,quantitative,"business_strategy, data_analytics, finance, spreadsheet","business_strategy, data_analytics, finance, quantitative, spreadsheet",active-pack,installed_pack_skill,keep-active,.agents/skills/quant-review/SKILL.md,codex-coding-os-pack,"primary-capable, master-review-support",default-for-noncoding
humanizer,skill,humanizer,"controlled_document, creative, document","controlled_document, creative, document, humanizer",active-pack,installed_pack_skill,keep-active,.agents/skills/humanizer/SKILL.md,codex-coding-os-pack,"primary-capable, master-review-support",default-for-noncoding
ssot-drafter,skill,controlled_document,"document, evidence, process","controlled_document, document, evidence, process",active-pack,installed_pack_skill,keep-active,.agents/skills/ssot-drafter/SKILL.md,codex-coding-os-pack,"primary-capable, master-review-support",default-for-noncoding
ssot-auditor,skill,controlled_document,"critique, document, evidence, process","controlled_document, critique, document, evidence, process",active-pack,installed_pack_skill,keep-active,.agents/skills/ssot-auditor/SKILL.md,codex-coding-os-pack,"primary-capable, master-review-support",default-for-noncoding
artifact-validation-workflow,skill,controlled_document,"critique, document, evidence, process","controlled_document, critique, document, evidence, process",active-pack,installed_pack_skill,keep-active,.agents/skills/artifact-validation-workflow/SKILL.md,codex-coding-os-pack,"primary-capable, master-review-support",default-for-noncoding
artifact-system-designer,skill,controlled_document,"document, evidence, process, rag","controlled_document, document, evidence, process, rag",active-pack,installed_pack_skill,keep-active,.agents/skills/artifact-system-designer/SKILL.md,codex-coding-os-pack,"primary-capable, master-review-support",default-for-noncoding
dossier-builder,skill,evidence,"business_strategy, controlled_document, critique, process, rag","business_strategy, controlled_document, critique, evidence, process, rag",active-pack,installed_pack_skill,keep-active,.agents/skills/dossier-builder/SKILL.md,codex-coding-os-pack,"primary-capable, master-review-support",default-for-noncoding
new-project-documentation-system,skill,new_project_doc,"code_orchestration, controlled_document, document, process, project_continuity","code_orchestration, controlled_document, document, new_project_doc, process, project_continuity",active-pack,installed_pack_skill,keep-active,.agents/skills/new-project-documentation-system/SKILL.md,codex-coding-os-pack,primary-capable,material-only
technical-docs-pack,skill,document,"code, controlled_document, process","code, controlled_document, document, process",active-pack,installed_pack_skill,keep-active,.agents/skills/technical-docs-pack/SKILL.md,codex-coding-os-pack,primary-capable,material-only
doc,skill,document,,document,active-pack,installed_pack_skill,keep-active,.agents/skills/doc/SKILL.md,codex-coding-os-pack,primary-capable,material-only
pdf,skill,pdf,document,"document, pdf",active-pack,installed_pack_skill,keep-active,.agents/skills/pdf/SKILL.md,codex-coding-os-pack,primary-capable,material-only
playwright,skill,browser_verification,"code, frontend","browser_verification, code, frontend",active-pack,installed_pack_skill,keep-active,.agents/skills/playwright/SKILL.md,codex-coding-os-pack,primary-capable,material-only
skill-creator,skill,skill_authoring,critique,"critique, skill_authoring",active-pack,installed_pack_skill,keep-active,.agents/skills/skill-creator/SKILL.md,codex-coding-os-pack,primary-capable,material-only
example-external-tool,candidate,reference,,reference,reference-only,not_installed_candidate,keep-reference,candidate:example,candidate-backlog,reference-only,explicit-request-only
